Year,temparature_anomaly_celsium,CO2(ppmv),CH4(ppbv)
2023,1.17,421.08,
2022,0.89,418.53,
2021,0.85,416.41,
2020,1.01,414.21,
2019,0.98,411.65,
2018,0.85,408.72,
2017,0.92,406.76,
2016,1.01,404.41,
2015,0.9,401.01,
2014,0.74,398.81,
2013,0.68,396.74,
2012,0.65,394.06,
2011,0.61,391.85,
2010,0.72,390.1,
2009,0.66,387.64,
2008,0.54,385.83,
2007,0.66,384.02,
2006,0.64,382.09,
2005,0.68,379.98,
2004,0.53,377.7,1708.0711484795
2003,0.62,375.98,1707.4314735632502
2002,0.63,373.45,1709.131351153
2001,0.54,368.02248790241714,1708.8856379535
2000,0.39,369.71,1707.3556104475
1999,0.38,368.54,1706.4922187543334
1998,0.61,361.78073658846415,1696.1077567173334
1997,0.46,363.88,1685.7009715952668
1996,0.33,359.6477931830841,1681.96252643225
1995,0.45,360.97,1680.2934995507867
1994,0.31,357.10673969933646,1672.583385982
1993,0.23,353.94668533391206,1668.3497562788077
1992,0.22,353.72423581425323,1666.4580607741666
1991,0.41,352.41630841973364,1654.011115195646
1990,0.45,354.45,1644.3957446359166
1989,0.27,349.8002703595191,1635.3865773779999
1989,0.27,350.8086522409729,1635.3865773779999
1988,0.39,347.59740561133145,1620.512942235
1988,0.39,349.27841464963046,1620.512942235
1987,0.32,345.44120600376243,1607.754937641
1986,0.18,343.9736767615952,1596.6880500526665
1986,0.18,344.71776861346984,1596.6880500526665
1985,0.12,343.1107520502481,1568.8905374046694
1984,0.16,342.0519764062061,1572.971788802
1983,0.31,339.4604885213476,
1983,0.31,341.3292967441024,
1982,0.14,341.48,
1981,0.32,340.12,1533.764340769
1980,0.26,338.76,1489.321062573
1979,0.16,334.84855553252345,1490.427340525
1978,0.07,335.41,1470.5475215669999
1977,0.18,333.84,1458.136395
1976,-0.1,335.54695345792317,
1976,-0.1,332.3689555204767,
1975,-0.01,332.3656863259178,1420.4399500000002
1974,-0.07,331.54980566810485,1399.5553776
1973,0.16,329.68,1403.9620960000002
1972,0.01,328.41588801232757,1366.1082977209844
1972,0.01,330.3504422217994,1366.1082977209844
1971,-0.08,326.32,1368.7558316666668
1970,0.03,324.9059936630005,1351.6728
1970,0.03,326.3093257445175,1351.6728
1970,0.03,324.5570616692709,1351.6728
1970,0.03,326.6491948420144,1351.6728
1969,0.05,324.70605757685405,
1968,-0.08,324.08551736938495,1306.584531
1968,-0.08,325.07717594979096,1306.584531
1968,-0.08,320.38065078205506,1306.584531
1967,-0.02,322.18,1284.0027083333334
1966,-0.06,320.4923553617883,
1966,-0.06,322.1747797142201,
1965,-0.11,319.8929363220089,1261.0321874
1965,-0.11,320.98156635342656,1261.0321874
1965,-0.11,319.1950596158425,1261.0321874
1964,-0.2,319.62,1260.2928025
1963,0.05,319.06606441856763,
1963,0.05,319.12347301713646,
1962,0.03,318.61106261456985,
1962,0.03,319.1381732232432,
1962,0.03,317.5216280215933,
1962,0.03,317.4481354802273,
1961,0.06,316.59261011941027,1218.4768000000001
1960,-0.03,313.0933880516286,1205.918504
1960,-0.03,318.20658038167187,1205.918504
1959,0.03,311.98389241638387,1191.7029968
1958,0.06,316.3340200101121,1175.5596154514287
1958,0.06,316.1014028920352,1175.5596154514287
1957,0.05,314.4370577968855,1182.9854
1957,0.05,314.57216625352925,1182.9854
1957,0.05,316.3253801823537,1182.9854
1957,0.05,315.2703546298443,1182.9854
1956,-0.19,315.342073915026,1166.6475467733333
1955,-0.14,,1142.05634155
1954,-0.13,314.7139613439055,1137.5716303999998
1953,0.08,313.1710570119369,1130.5901508
1953,0.08,312.8003637775662,1130.5901508
1953,0.08,312.22274083278216,1130.5901508
1952,0.01,312.1844627182946,
1951,-0.07,,1106.5010903999998
1950,-0.17,312.0017776102837,1105.0179361333333
1949,-0.11,313.6602846482332,1097.5260456
1948,-0.11,309.6939936066409,1092.2709886
1947,-0.03,311.57094999761165,1080.4995624
1946,-0.07,312.8663621464335,1082.331196
1946,-0.07,310.36290017732523,1082.331196
1945,0.09,311.9671347125998,1076.4750102666667
1945,0.09,311.8114965345337,1076.4750102666667
1945,0.09,312.5596867804179,1076.4750102666667
1944,0.2,311.2775834649954,1076.5076558410258
1944,0.2,310.224309572614,1076.5076558410258
1944,0.2,310.440204448011,1076.5076558410258
1943,0.09,312.36164019507424,1070.2947156
1942,0.06,311.878053578341,1075.7967193333334
1942,0.06,312.8437329659678,1075.7967193333334
1941,0.18,312.393938618938,1059.2976956666669
1940,0.12,311.80226771747726,1061.6304972
1940,0.12,307.7386635857962,1061.6304972
1939,-0.02,309.80091502114107,1058.6592828
1939,-0.02,310.9510867188181,1058.6592828
1939,-0.02,311.21179432912515,1058.6592828
1938,0.0,311.94102882822733,1053.0176000000001
1938,0.0,308.47982780846024,1053.0176000000001
1938,0.0,310.4566675193962,1053.0176000000001
1937,-0.03,312.3293254879136,1052.4388174
1937,-0.03,311.52050972739016,1052.4388174
1936,-0.15,307.4076931745866,1045.2323250000002
1935,-0.2,307.25859856593024,1040.93841184
1935,-0.2,306.3197983876916,1040.93841184
1935,-0.2,309.3446868650601,1040.93841184
1934,-0.12,,1026.0775148
1933,-0.29,309.6306260790445,
1933,-0.29,307.0755443187391,
1932,-0.16,308.25556223436706,
1932,-0.16,305.94402817135216,
1932,-0.16,308.27919921307927,
1931,-0.09,,
1930,-0.16,305.7409186942765,1011.5595920000001
1929,-0.36,305.3808267142061,1014.7115038
1928,-0.2,305.78294147245686,1001.7383
1928,-0.2,305.70537216677735,1001.7383
1928,-0.2,305.66786848134046,1001.7383
1927,-0.22,308.01874186181465,
1926,-0.11,,990.017825
1925,-0.22,304.96915678718324,
1924,-0.27,304.7159146968185,986.6109513142858
1923,-0.26,,
1922,-0.28,306.19862429992156,
1922,-0.28,303.1815383191544,
1921,-0.19,,
1920,-0.27,,960.7720632
1919,-0.27,301.8758603769565,959.3202178
1918,-0.29,304.61320734820134,
1917,-0.46,303.85222132002366,929.884215
1916,-0.36,,
1915,-0.14,301.9151507114715,921.0867135999999
1914,-0.15,300.7000886560916,921.60204
1913,-0.34,,
1912,-0.37,301.29772622272134,916.1943243999999
1911,-0.44,297.7268153632511,
1911,-0.44,299.25727749401767,
1910,-0.44,298.10624698316605,934.5396336
1909,-0.48,297.86910679162327,
1908,-0.43,301.50413540464433,
1907,-0.39,,885.26086
1906,-0.22,,
1905,-0.26,299.0235966178361,887.7381304
1905,-0.26,299.62686294971274,887.7381304
1905,-0.26,297.32821856127947,887.7381304
1904,-0.47,,
1903,-0.37,295.9913578166476,867.8283656
1902,-0.28,,
1901,-0.15,295.6106368299745,868.4322
1900,-0.08,294.22072160003313,866.5218175999998
1899,-0.17,,
1898,-0.27,295.2814574829282,
1898,-0.27,297.0473645165553,
1897,-0.11,,850.6784045
1896,-0.11,,
1895,-0.23,,857.4478328
1894,-0.31,,852.2660133333333
1893,-0.31,293.16654166689625,836.77608
1893,-0.31,295.3164626735822,836.77608
1893,-0.31,293.80883068272027,836.77608
1892,-0.27,295.17192926023625,
1892,-0.27,294.8594308441452,
1891,-0.22,,
1890,-0.35,,843.7748343999999
1889,-0.1,292.3423879392772,
1889,-0.1,290.9175394046256,
1888,-0.17,,833.6102050000001
1887,-0.36,294.34178746728605,841.5658184
1886,-0.31,,
1885,-0.33,288.1157636999787,841.4841616000001
1884,-0.28,289.2265988139854,828.5405099999999
1883,-0.17,289.7624132149648,
1882,-0.11,292.46393479402104,
1881,-0.09,,
1880,-0.17,,
1879,,287.7707291897673,822.31633
1877,-0.42,,
1876,,289.3281310647417,
1875,,,822.1005936
1874,,,816.9597392
1873,,291.5581974658393,
1872,,286.6550967370638,
1871,,,811.8757699999999
1870,,286.32578146070443,802.11564
1869,0.05,287.9864944292303,
1868,,289.53614491302415,815.8052312
1867,,287.9922513016967,
1866,,285.05229227816864,
1865,,,804.0995240000001
1864,,286.65415816058197,
1863,,,789.8903600000001
1862,,285.3533187571561,
1861,,287.17456217295097,
1860,0.05,,786.1594736000001
1858,,286.6330756116753,
1856,,283.16210074754474,775.93615
1855,,,786.3911592
1854,,285.56557722684016,
1853,,288.05443747992655,775.3590399999999
1852,,,785.5401266666665
1851,-0.52,285.4658308627274,
1850,,288.7903954001126,806.511824
1850,,284.00163402345765,806.511824
1848,,,763.6648
1847,,286.839237474432,769.7152639999999
1845,,283.6198856894272,777.970947
1844,,283.5311237194569,
1844,,283.1828720355646,
1843,,281.58148260537183,
1842,,,766.9010499999999
1841,0.79,,
1840,,283.6545457229947,
1839,,,764.96764
1836,,284.151983964357,
1835,,,758.9387348
1834,,,756.2797879999999
1833,,283.82039231033946,
1832,,285.0861666968484,
1831,-0.55,,
1827,,,753.6939
1826,,285.90893992625405,
1824,,281.3603652847592,784.0
1821,-1.11,,738.74316
1820,,,762.0
1815,,,736.3737199999999
1813,,284.43128758236145,
1811,0.38,,
1800,-0.4,,729.36196
1799,,282.7995518984052,710.0
1797,,,716.87338
1796,,280.40443666000317,
1795,,282.3047106620081,717.8198000000001
1794,,281.61711795078935,
1790,1.05,,
1784,,,722.9904
1781,,,718.6430799999999
1780,,273.07371696468044,714.37342
1779,0.28,280.23629818436876,
1774,,,720.77156
1773,,277.8559524780317,
1769,-0.72,,
1766,,,727.0
1764,,,706.09308
1763,,276.3961020284933,703.1236
1762,,277.15568662096365,
1759,-1.23,,
1753,,,697.34942
1752,,278.00200109884094,
1751,,276.4573287163011,
1750,,,692.8677399999999
1749,0.51,277.6000738939942,
1748,,,696.0
1743,,,706.4043200000001
1741,,276.8090000432731,
1738,-2.44,,
1735,,,703.24172
1733,,278.3109424912346,
1727,0.42,,
1723,,277.01330979867544,673.70522
1722,,278.27011023020174,
1717,0.84,,
1706,0.71,,
1695,-0.02,,676.116
1694,,277.35805088594464,
1692,,,679.0
1690,,,684.62756
1689,,276.3246167739362,
1684,-0.14,,
1682,,274.9,692.03944
1681,,276.6596678045921,
1673,-1.41,,
1671,,277.9,
1667,,,681.19388
1661,-0.34,,
1653,,,676.0
1650,,,674.61
1649,0.16,278.0152295252318,
1641,,,687.05724
1639,,276.6872122505445,
1638,-1.22,,
1629,,,684.4167199999999
1628,,273.78076231204557,
1627,-0.41,,
1624,,,679.4291999999999
1615,-0.59,,
1611,,,679.30636
1609,,271.10903046702873,
1605,,,651.0
1604,0.03,,667.6824
1603,,275.066577843599,
1592,-0.67,,665.3832399999999
1590,,279.3568610690018,
1589,,,672.80044
1588,,281.10892823134105,
1580,-0.9,,
1573,,282.5698274885973,684.7504
1568,-1.53,,684.0
1561,,,713.43232
1559,,281.82904146165555,
1555,-0.47,279.1,
1550,,,704.29828
1549,,283.5296825674026,
1547,,,681.0
1546,,281.9,
1543,-0.12,,
1536,,,699.9485999999999
1532,0.21,,
1530,,,698.9068
1529,,283.94789036843633,
1520,-1.73,,
